"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish"
"17","Kingsford Waterbay","Apartment","$1,115,341","$1,312 psf (Built-up)","2017","Apartment","Kingsford Property Development Pte Ltd","64 Upper Serangoon View (533886)","D19 - Hougang / Punggol / Sengkang","3","2","08","850 sqft (Built-up)","LEASEHOLD/99 years","1165","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"18","6 Derbyshire","Condominium","$1,774,128","$3,743 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1","1","14","474 sqft (Built-up)","FREEHOLD","168","Children Playground | Spa Pool | Community Sky Garden | Pavilion | Reflective Pool | Gymnasium | Simming Pool | Bbq Pits | Renovated | Park/greenery View | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Not Furnished"
"19","Duo Residences","Apartment","$4,347,088","$2,361 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4","3","41","1,841 sqft (Built-up)","LEASEHOLD/99 years","660","Aqua Gym Equipment | Sky Pool | Children's Pool | Teppanyaki Terraces | Function Room | Patio Gym | Gymnasium | Kid's Play Area | Jacuzzi | Reflective Pool | Outdoor Living Room | Sun Deck | 50M Lap Pool With Spa Seats | Original Condition | City View | Air Conditioning | Intercom | Cooker Hob/hood | Balcony","Alex Goh","Partially Furnished"
"20","6 Derbyshire","Condominium","$1,082,000","$2,283 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1","1","24","474 sqft (Built-up)","FREEHOLD","168","Bbq Pits | Spa Pool | Community Sky Garden | Pavilion | Gymnasium | Reflective Pool | Children Playground | Simming Pool | Swimming Pool View | Renovated | Park/greenery View | City View | Air Conditioning | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Kane Seow K H","Partially Furnished"
"21","Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2","2","28","1,119 sqft (Built-up)","LEASEHOLD/99 years","1042","Renovated | Park/greenery View | Original Condition | Intercom | Water Heater | Cooker Hob/hood | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
"22","The Crest","Condominium","$3,033,000","$1,829 psf (Built-up)","2018","Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","4","4","13","1,658 sqft (Built-up)","LEASEHOLD/99 years","469","Park/greenery View | Original Condition | Corner Unit | Intercom | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
"23","Sophia Hills","Condominium","$2,114,000","$2,207 psf (Built-up)","2017","Condominium","Hoi Hup Sunway Mount Sophia Pte Ltd","11 Mount Sophia (228461)","D9 - Orchard / River Valley","3","2","04","958 sqft (Built-up)","LEASEHOLD/99 years","493","Management Office | Games Room | Water Wall | Gymnasium | Mountain Terraces | Main Entrance Drop-off Plaza | Jogging Path | Male And Female Changing And Steam Rooms | Adventure Playground | Timber Deck | Sunning Deck | Children's Pool | Multi-purpose Media Room | Childcare Drop-off Plaza | Jacuzzi | Reflective Pool | Bbq Corner | 50M Lap Pool | Bio-pond | Clubhouse Drop-off Plaza | Guardhouse | Internet Corner | Fitness Stations | Seating Corner | Substation | Toddler's Playground | Pavilion | The Sophia Mirror Pool | Children's Water Play | Vantage Deck | Conserved Building: Restaurant | Yoga Decks | The Sophia Grand Staircase | Lagoon Pool | Bin Centre | Residents' Side Gate | Lounge | Steps Cascades | Function Rooms | Conserved Building: Childcare/kindergarten | Water Cascades | Park/greenery View | Original Condition | City View | Water Heater | Air Conditioning | Cooker Hob/hood | Intercom | Walk-in-wardrobe | Balcony","Tina Lee Kim Lian","Partially Furnished"
"24","Sophia Hills","Condominium","$2,114,000","$2,207 psf (Built-up)","2017","Condominium","Hoi Hup Sunway Mount Sophia Pte Ltd","11 Mount Sophia (228461)","D9 - Orchard / River Valley","3","2","04","958 sqft (Built-up)","LEASEHOLD/99 years","493","The Sophia Grand Staircase | Clubhouse Drop-off Plaza | The Sophia Mirror Pool | Function Rooms | Children's Pool | Adventure Playground | Pavilion | Yoga Decks | Conserved Building: Childcare/kindergarten | Guardhouse | Children's Water Play | Bin Centre | Toddler's Playground | Male And Female Changing And Steam Rooms | Multi-purpose Media Room | Lounge | Sunning Deck | Seating Corner | Bbq Corner | Internet Corner | Steps Cascades | Conserved Building: Restaurant | Residents' Side Gate | Water Cascades | Water Wall | Gymnasium | Reflective Pool | Jogging Path | Childcare Drop-off Plaza | Main Entrance Drop-off Plaza | Fitness Stations | Management Office | Mountain Terraces | Vantage Deck | Lagoon Pool | 50M Lap Pool | Games Room | Timber Deck | Jacuzzi | Bio-pond | Substation | Park/greenery View | Original Condition | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"25","Corals At Keppel Bay","Condominium","$1,539,000","$2,270 psf (Built-up)","2018","Condominium","Keppel Bay Pte Ltd","19 Keppel Bay Drive (098021)","D4 - Sentosa / Harbourfront","1","2","04","678 sqft (Built-up)","LEASEHOLD/99 years","366","Bbq Area | Jacuzzi / Hydro Spa | Water Feature | Changing Rooms | Clubhouse | Kid's Pool / Splash Pool With Jumping Jets | 50M Lap Pool | Play Area | Reflective Pools | Pathway / Forest Walk | Tennis Court | Public Promenade | Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Tina Lee Kim Lian","Not Furnished"
"26","The Crest","Condominium","$1,803,000","$1,926 psf (Built-up)","2018","Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","2","2","13","936 sqft (Built-up)","LEASEHOLD/99 years","469","Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"27","Corals At Keppel Bay","Condominium","$1,539,000","$2,270 psf (Built-up)","2018","Condominium","Keppel Bay Pte Ltd","19 Keppel Bay Drive (098021)","D4 - Sentosa / Harbourfront","1","5","04","678 sqft (Built-up)","LEASEHOLD/99 years","366","Play Area | Reflective Pools | 50M Lap Pool | Public Promenade | Kid's Pool / Splash Pool With Jumping Jets | Jacuzzi / Hydro Spa | Changing Rooms | Bbq Area | Clubhouse | Pathway / Forest Walk | Water Feature | Tennis Court | Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Henry Lim (MBA, EXPERT-SRX)","Not Furnished"
"28","V on Shenton","Apartment","$3,888,000","$2,215 psf (Built-up)","2017","Apartment","UIC Investments (Properties) Pte Ltd","5 Shenton Way (068808)","D1 - Boat Quay / Raffles Place / Marina","3",NA,"40","1,755 sqft (Built-up)","LEASEHOLD/99 years","510","Splash Zone | Epicurean Dining | Indoor Gymnasium | Spa Pool | Refreshment Bar | Playscape | Aqua Gym | Day Bed Island | Outdoor Fitness | Sun Deck | Garden Lounge | Spice Botanics | Surf Lounge | Cloves Hedge | Junior Pool | Club Lounge | Outback Grill | Bubbly Bay | Cinnamon Scent | City View | Air Conditioning | Cooker Hob/hood | Bathtub | Balcony","Mike Toh",NA
"29","Marina One Residences","Apartment","$3,642,168","$2,399 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","3","30","1,518 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Jacuzzi | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished"
"30","Marina One Residences","Apartment","$5,325,800","$2,367 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","23 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4+1","4","30","2,250 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Hairdryer | Water Heater | Intercom | Cooker Hob/hood | Private Lift | Maidsroom | Balcony | Walk-in-wardrobe | Private Garden","Kaeden Ong (EXPERT, SRX) Developer Sales","Partially Furnished"
"31","Marina One Residences","Apartment","$2,520,550","$2,209 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","2","06","1,141 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | City View | Renovated | Air Conditioning | Water Heater | Intercom | Hairdryer | Cooker Hob/hood | Jacuzzi | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished"
"32","Duo Residences","Apartment","$3,510,000","$1,821 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3+1","1","40","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","Function Room | Patio Gym | Teppanyaki Terraces | Sun Deck | Outdoor Living Room | 50M Lap Pool With Spa Seats | Sky Pool | Children's Pool | Aqua Gym Equipment | Jacuzzi | Gymnasium | Kid's Play Area | Reflective Pool | Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished"
"33","Leonie Parc View","Apartment","$11,888,888","$1,822 psf (Built-up)","2009","Apartment","SB (Orchard) Development Pte Ltd","22 Leonie Hill Road (239195)","D9 - Orchard / River Valley","5+1",NA,"28","6,524 sqft (Built-up)","FREEHOLD","44","Park/greenery View | Renovated | City View | Air Conditioning | Cooker Hob/hood | Intercom | Private Pool | Bathtub | Hairdryer | Jacuzzi | Water Heater | Private Lift | Balcony | Bombshelter | Maidsroom | Terrace | Outdoor Patio | Roof Terrace | Walk-in-wardrobe | Garage","Tony Tay Soo Tong",NA
"34","Queens Peak","Condominium","$1,479,000","$1,833 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3+1","2","43","807 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | Park/greenery View | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony","Jay Choong 钟志杰","Partially Furnished"
"35","Queens Peak","Condominium","$3,123,000","$1,559 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","3 Dundee Road (149457)","D3 - Alexandra / Commonwealth","5","4","29","2,003 sqft (Built-up)","LEASEHOLD/99 years","736","Bathtub | Hairdryer | Water Heater | Intercom | Air Conditioning | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Jane He","Partially Furnished"
"36","Marina One Residences","Apartment","$2,550,000","$2,257 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2","2","18","1,130 sqft (Built-up)","LEASEHOLD/99 years","1042","Original Condition | City View | Air Conditioning | Intercom | Water Heater | Private Lift | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Alex Goh","Partially Furnished"
"37","V on Shenton","Apartment","$4,521,000","$2,561 psf (Built-up)",NA,"Apartment","UIC Investments (Properties) Pte Ltd","5 Shenton Way (068808)","D1 - Boat Quay / Raffles Place / Marina","3",NA,"49","1,765 sqft (Built-up)","LEASEHOLD/99 years","510","Splash Zone | Cinnamon Scent | Epicurean Dining | Refreshment Bar | Outback Grill | Sun Deck | Surf Lounge | Playscape | Outdoor Fitness | Indoor Gymnasium | Aqua Gym | Cloves Hedge | Day Bed Island | Club Lounge | Bubbly Bay | Spa Pool | Junior Pool | Spice Botanics | Garden Lounge | Renovated | City View | Sea View | Park/greenery View | Corner Unit | Water Heater | Intercom | Air Conditioning | Cooker Hob/hood | Balcony","Neeza Ali",NA
"38","Duo Residences","Apartment","$4,128,300","$2,142 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",NA,"36","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","Kid's Play Area | Outdoor Living Room | Aqua Gym Equipment | Teppanyaki Terraces | Sky Pool | Children's Pool | 50M Lap Pool With Spa Seats | Sun Deck | Reflective Pool | Jacuzzi | Function Room | Patio Gym | Gymnasium | Sea View | City View | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Raycher Lim",NA
"39","Kingsford Waterbay","Apartment","$1,100,000","$1,294 psf (Built-up)",NA,"Apartment","Kingsford Property Development Pte Ltd","78 Upper Serangoon View (533879)","D19 - Hougang / Punggol / Sengkang","3",NA,"08","850 sqft (Built-up)","LEASEHOLD/99 years","1165","Swimming Pool View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Maidsroom | Balcony","Syafiq Focus",NA
"40","Marina One Residences","Apartment","$2,750,000","$2,458 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",NA,"31","1,119 sqft (Built-up)","LEASEHOLD/99 years","1042","Swimming Pool View | Park/greenery View | Sea View | City View | Corner Unit | Renovated | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Adrian Chong",NA
